ID,Class,Teacher,Subject,item1,item2,item3,item4,item5,Pass/Fail
S074,C,T03,Math,83,73,91,84,72,Pass
S075,C,T03,Math,95,85,85,88,84,Pass
S076,C,T03,Math,85,55,73,66,74,Pass
S077,C,T03,Math,65,55,66,46,54,Fail
S078,C,T03,Math,99,89,75,70,88,Pass
S079,C,T03,Math,79,55,81,54,68,Pass
S080,C,T03,Math,91,81,73,78,80,Pass
S081,C,T03,Math,93,83,77,72,82,Pass
S082,C,T03,Math,83,55,69,42,72,Pass
S083,C,T03,Math,83,73,91,74,72,Pass
S084,C,T03,Math,51,41,33,42,40,Fail
S085,D,T03,Math,75,55,75,62,64,Fail
S086,D,T03,Math,57,47,55,72,46,Fail
S087,D,T03,Math,91,81,87,58,80,Pass
S088,D,T03,Math,73,55,67,62,62,Fail
S089,D,T03,Math,85,75,95,54,74,Pass
S090,D,T03,Math,51,41,45,72,40,Fail
S091,D,T03,Math,57,55,55,80,46,Fail
S092,D,T03,Math,87,77,93,66,76,Pass
S093,D,T03,Math,79,69,87,54,68,Pass
S094,D,T03,Math,77,55,73,80,66,Fail
S095,D,T03,Math,71,61,55,56,60,Fail
S096,D,T03,Math,73,63,66,40,62,Fail
S097,D,T03,Math,73,55,66,50,62,Fail
S098,D,T03,Math,67,57,56,82,56,Fail
S099,D,T03,Math,73,63,66,76,62,Fail
S100,D,T03,Math,69,55,75,78,58,Fail
S101,D,T03,Math,71,61,57,55,60,Fail
S102,D,T03,Math,73,63,77,54,62,Fail
S103,D,T03,Math,69,44,66,65,58,Fail
S104,D,T03,Math,35,25,33,62,24,Fail
S105,D,T03,Math,73,63,66,58,62,Fail
S106,D,T03,Math,99,44,88,68,88,Fail
S107,D,T03,Math,65,55,77,48,54,Fail
S108,D,T03,Math,75,65,65,74,64,Fail
S109,D,T03,Math,89,44,95,64,78,Pass
S110,D,T03,Math,83,73,89,60,72,Pass
S111,D,T03,Math,91,81,77,80,80,Pass
S112,D,T03,Math,73,44,64,72,62,Fail
S113,D,T03,Math,57,47,55,67,46,Fail
S114,D,T03,Math,69,59,65,82,58,Fail
S115,D,T03,Math,49,44,44,82,38,Fail
S116,D,T03,Math,75,65,66,80,64,Fail
S117,D,T03,Math,57,47,44,44,46,Fail
S118,D,T03,Math,85,44,85,46,74,Pass
S119,E,T04,Math,85,75,71,66,74,Pass
S120,E,T04,Math,63,53,55,70,52,Fail
S121,E,T04,Math,69,44,67,90,58,Fail
S122,E,T04,Math,87,77,97,62,76,Pass
S123,E,T04,Math,81,71,97,80,70,Pass
S124,E,T04,Math,85,44,89,92,74,Pass
S125,E,T04,Math,49,39,44,88,38,Fail
S126,E,T04,Math,73,63,55,55,62,Fail
S127,E,T04,Math,51,44,37,92,40,Fail
S128,E,T04,Math,73,63,85,80,62,Fail
S129,E,T04,Math,63,53,71,86,52,Fail
S130,E,T04,Math,47,44,44,76,36,Fail
S131,E,T04,Math,63,53,55,55,52,Fail
S132,E,T04,Math,67,57,56,44,56,Fail
S133,E,T04,Math,43,44,45,67,32,Fail
S134,E,T04,Math,37,27,34,53,26,Fail
S135,E,T04,Math,55,45,45,57,44,Fail
S136,E,T04,Math,79,44,78,49,68,Pass
S137,E,T04,Math,79,69,81,67,68,Pass
S138,E,T04,Math,89,79,83,75,78,Pass
S139,E,T04,Math,69,44,66,61,58,Fail
S140,E,T04,Math,67,57,55,88,56,Fail
S141,E,T04,Math,43,33,44,75,32,Fail
S142,E,T04,Math,47,44,55,78,36,Fail
S143,E,T04,Math,63,53,44,35,52,Fail
S144,E,T04,Math,27,17,22,78,16,Fail
S145,E,T04,Math,81,44,88,88,70,Pass
S146,E,T04,Math,67,57,66,71,56,Fail
S147,E,T04,Math,55,45,55,49,44,Fail
S148,E,T04,Math,51,44,51,89,40,Fail
S149,E,T04,Math,99,89,75,49,88,Fail
S150,E,T04,Math,49,39,57,73,38,Fail
S151,E,T04,Math,75,44,66,57,64,Fail
S152,E,T04,Math,55,45,45,53,44,Fail
S153,F,T04,Math,87,77,85,63,76,Pass
S154,F,T04,Math,73,44,66,43,62,Fail
S155,F,T04,Math,55,45,57,69,44,Fail
S156,F,T04,Math,41,31,33,67,30,Fail
S157,F,T04,Math,61,44,55,55,50,Fail
S158,F,T04,Math,75,65,77,75,64,Fail
S159,F,T04,Math,81,71,71,67,70,Fail
S160,F,T04,Math,47,44,34,89,36,Fail
S161,F,T04,Math,39,29,43,77,28,Fail
S162,F,T04,Math,87,77,77,77,76,Pass
S163,F,T04,Math,93,44,73,55,82,Pass
S164,F,T04,Math,97,87,89,77,86,Pass
S165,F,T04,Math,63,53,55,41,52,Fail
S166,F,T04,Math,89,44,73,66,78,Pass
S167,F,T04,Math,53,43,43,65,42,Fail
S168,F,T04,Math,87,77,77,79,76,Pass
S169,F,T04,Math,91,44,73,83,80,Pass
S170,F,T04,Math,69,89,99,91,88,Pass
S171,F,T04,Math,49,61,65,63,60,Fail
S172,F,T04,Math,73,44,75,75,72,Pass
S173,F,T04,Math,57,83,89,87,82,Pass
S174,F,T04,Math,81,77,83,81,76,Pass
S175,F,T04,Math,75,44,66,67,62,Fail
S176,F,T04,Math,45,73,73,77,72,Pass
S177,F,T04,Math,77,63,57,67,62,Pass
S178,F,T04,Math,45,44,86,87,82,Pass
S179,F,T04,Math,65,71,96,75,70,Pass
S180,F,T04,Math,75,73,67,77,72,Pass
S181,F,T04,Math,61,44,72,89,84,Pass
S182,F,T04,Math,65,75,74,79,74,Pass
S183,F,T04,Math,57,55,55,59,54,Fail
S184,F,T04,Math,75,44,82,93,88,Pass
S185,F,T04,Math,83,69,77,73,68,Pass
S186,F,T04,Math,69,81,82,85,80,Pass
S187,F,T04,Math,57,77,88,87,82,Pass
S188,F,T04,Math,83,73,82,77,72,Pass
S189,G,T04,Math,59,73,70,77,72,Pass
S190,G,T04,Math,43,77,45,45,40,Fail
S191,G,T04,Math,53,65,66,69,64,Fail
S192,G,T04,Math,86,47,55,51,46,Fail
S193,G,T04,Math,96,77,70,85,80,Pass
S194,G,T04,Math,52,63,58,67,62,Fail
S195,G,T04,Math,72,75,66,79,74,Pass
S196,G,T04,Math,74,77,55,45,40,Fail
S197,G,T04,Math,90,47,45,51,46,Fail
S198,G,T04,Math,82,77,72,81,76,Pass
S199,G,T04,Math,94,77,92,73,68,Pass
S200,G,T04,Math,82,67,66,71,66,Fail
S201,G,T04,Math,88,61,66,65,60,Fail
S202,G,T04,Math,82,77,66,67,62,Fail
S203,G,T04,Math,70,63,66,67,62,Fail
S204,G,T04,Math,55,57,76,61,56,Fail
S205,G,T04,Math,72,77,76,67,62,Fail
S206,G,T04,Math,78,59,56,63,58,Fail
S207,G,T04,Math,70,61,70,65,60,Fail
S208,G,T04,Math,58,77,67,67,62,Fail
S209,G,T04,Math,66,59,65,63,58,Fail
S210,G,T04,Math,88,25,34,29,24,Fail
S211,G,T04,Math,82,77,65,67,62,Fail
S212,G,T04,Math,72,89,96,93,88,Pass
S213,G,T04,Math,92,55,72,59,54,Fail
S214,G,T04,Math,84,77,54,69,64,Fail
S215,G,T04,Math,94,79,80,83,78,Pass
S216,G,T04,Math,92,73,84,77,72,Pass
S217,G,T04,Math,94,77,80,85,80,Pass
S218,G,T04,Math,86,63,88,67,62,Fail
S219,G,T04,Math,90,47,56,51,46,Fail
S220,G,T04,Math,84,77,74,63,58,Fail
S221,G,T04,Math,70,39,45,43,38,Fail
S222,G,T04,Math,98,65,66,69,64,Fail
S223,G,T04,Math,36,77,46,51,46,Fail
S224,G,T04,Math,90,75,74,79,74,Pass
S225,G,T04,Math,72,75,88,79,74,Pass
S226,G,T04,Math,96,77,52,57,52,Fail
S001,A,T05,Literature,72,62,42,66,61,Fail
S002,A,T05,Literature,77,80,86,84,79,Pass
S003,A,T05,Literature,80,77,68,78,73,Pass
S004,A,T05,Literature,84,78,94,82,77,Pass
S005,A,T05,Literature,55,42,44,46,41,Fail
S006,A,T05,Literature,66,77,68,70,65,Fail
S007,A,T05,Literature,68,44,55,48,43,Fail
S008,A,T05,Literature,74,66,65,70,65,Fail
S009,A,T05,Literature,92,77,55,60,55,Fail
S010,A,T05,Literature,92,40,44,44,39,Fail
S011,A,T05,Literature,86,56,55,60,55,Fail
S012,A,T05,Literature,74,77,76,64,59,Fail
S013,A,T05,Literature,44,36,33,40,35,Fail
S014,A,T05,Literature,52,30,33,34,29,Fail
S015,A,T05,Literature,42,77,54,52,47,Fail
S016,A,T05,Literature,86,72,68,76,71,Pass
S017,A,T05,Literature,68,72,80,76,71,Pass
S018,A,T05,Literature,94,77,90,86,81,Pass
S019,A,T05,Literature,82,62,66,66,61,Fail
S020,A,T05,Literature,68,60,70,64,59,Fail
S021,A,T05,Literature,55,77,36,40,35,Fail
S022,A,T05,Literature,66,40,54,44,39,Fail
S023,A,T05,Literature,44,56,66,60,55,Fail
S024,A,T05,Literature,33,55,34,24,19,Fail
S025,A,T05,Literature,86,74,80,78,73,Pass
S026,A,T05,Literature,76,60,66,64,59,Fail
S027,A,T05,Literature,80,55,56,52,47,Fail
S028,A,T05,Literature,58,44,45,48,43,Fail
S029,A,T05,Literature,96,92,96,96,91,Pass
S030,B,T05,Literature,68,55,44,46,41,Fail
S031,B,T05,Literature,80,68,88,72,67,Pass
S032,B,T05,Literature,90,48,56,52,47,Fail
S033,B,T05,Literature,84,55,80,84,79,Pass
S034,B,T05,Literature,70,66,77,70,65,Fail
S035,B,T06,Literature,80,48,48,52,47,Fail
S036,B,T06,Literature,70,55,78,91,86,Pass
S037,B,T06,Literature,90,97,89,100,96,Pass
S038,B,T06,Literature,78,53,65,57,52,Fail
S039,B,T06,Literature,80,55,70,77,72,Pass
S040,B,T06,Literature,92,75,82,79,74,Pass
S041,B,T06,Literature,82,91,99,95,90,Pass
S042,B,T06,Literature,62,55,88,87,82,Pass
S043,B,T06,Literature,96,95,84,97,94,Pass
S044,B,T06,Literature,76,83,88,85,82,Pass
S045,B,T06,Literature,88,55,90,91,88,Pass
S046,B,T06,Literature,90,83,88,85,82,Pass
S047,B,T06,Literature,80,71,70,73,70,Pass
S048,B,T06,Literature,80,55,96,95,92,Pass
S049,B,T06,Literature,66,73,77,75,72,Pass
S050,B,T06,Literature,72,79,70,81,78,Pass
S051,B,T06,Literature,54,55,74,73,70,Pass
S052,B,T06,Literature,55,59,68,61,58,Fail
S053,B,T06,Literature,70,67,70,69,66,Fail
S054,B,T06,Literature,82,55,96,91,88,Pass
S055,B,T06,Literature,77,83,77,85,82,Pass
S056,B,T06,Literature,66,73,70,75,72,Pass
S057,B,T06,Literature,84,55,96,95,92,Pass
S058,C,T06,Literature,76,85,88,87,84,Pass
S059,C,T06,Literature,74,95,99,97,94,Pass
S060,C,T06,Literature,77,55,86,95,92,Pass
S061,C,T06,Literature,88,95,99,97,94,Pass
S062,C,T06,Literature,88,87,88,89,86,Pass
S063,C,T06,Literature,88,55,99,93,90,Pass
S064,C,T06,Literature,88,85,88,87,84,Pass
S065,C,T06,Literature,66,71,78,73,70,Pass
S066,C,T06,Literature,88,55,99,98,97,Pass
S067,C,T06,Literature,44,37,45,39,36,Fail
S068,C,T06,Literature,89,91,99,93,90,Pass
S069,C,T06,Literature,78,55,82,75,72,Pass
S070,C,T06,Literature,99,97,96,100,96,Pass
S071,C,T06,Literature,76,73,66,77,72,Pass
S072,C,T06,Literature,62,55,66,59,54,Fail
S073,C,T06,Literature,72,81,84,85,80,Pass
S074,C,T06,Literature,86,85,78,89,84,Pass
S075,C,T06,Literature,80,55,82,85,80,Pass
S076,C,T06,Literature,88,98,89,100,97,Pass
S077,C,T06,Literature,70,69,70,73,68,Pass
S078,C,T06,Literature,54,55,77,79,74,Pass
S079,C,T06,Literature,88,93,99,97,92,Pass
S080,C,T06,Literature,88,93,99,97,92,Pass
S081,C,T06,Literature,88,55,88,91,86,Pass
S082,C,T06,Literature,77,75,77,79,74,Pass
S083,C,T06,Literature,82,95,99,99,94,Pass
S084,C,T06,Literature,82,55,40,57,52,Fail
S085,D,T06,Literature,60,43,34,47,42,Fail
S086,D,T06,Literature,66,87,88,91,86,Pass
S087,D,T06,Literature,84,55,76,73,68,Pass
S088,D,T06,Literature,80,95,96,99,94,Pass
S089,D,T06,Literature,82,83,86,87,82,Pass
S090,D,T06,Literature,55,55,77,73,68,Pass
S091,D,T06,Literature,70,55,77,75,70,Pass
S092,D,T06,Literature,48,83,88,87,82,Pass
S093,D,T06,Literature,70,95,99,99,94,Pass
S094,D,T06,Literature,78,55,99,99,94,Pass
S095,D,T06,Literature,44,87,99,91,86,Pass
S096,D,T06,Literature,60,77,78,81,76,Pass
S097,D,T06,Literature,64,55,88,85,80,Pass
S098,D,T06,Literature,40,59,52,63,58,Pass
S099,D,T06,Literature,88,97,99,100,96,Pass
S100,D,T06,Literature,52,55,88,73,68,Pass
S101,D,T06,Literature,76,81,88,85,80,Pass
S102,D,T06,Literature,76,91,95,95,90,Pass
S103,D,T06,Literature,86,55,85,89,84,Pass
S104,D,T06,Literature,66,71,84,75,70,Pass
S105,D,T06,Literature,64,81,78,85,80,Pass
S106,D,T06,Literature,77,55,77,75,70,Pass
S107,D,T06,Literature,88,91,99,95,90,Pass
S108,D,T06,Literature,60,79,85,83,78,Pass
S109,D,T06,Literature,77,55,86,85,80,Pass
